"symbol", "name", "exchange"
"GLRE","Greenlight Capital Re, Ltd.","NMS"
"VISN","VisionChina Media Inc.","NMS"
"RLOC","ReachLocal, Inc.","NMS"
"FUEL","Rocket Fuel Inc.","NMS"
"SZMK","Sizmek Inc.","NMS"
"BEAV","B/E Aerospace Inc.","NMS"
"TASR","TASER International Inc.","NMS"
"LMIA","LMI Aerospace Inc.","NMS"
"AVAV","AeroVironment, Inc.","NMS"
"SWHC","Smith & Wesson Holding Corporation","NMS"
"WWD","Woodward, Inc.","NMS"
"ATRO","Astronics Corporation","NMS"
"ISSC","Innovative Solutions & Support Inc.","NMS"
"EXPD","Expeditors International of Washington Inc.","NMS"
"FWRD","Forward Air Corp.","NMS"
"MLNK","ModusLink Global Solutions, Inc.","NMS"
"HUBG","Hub Group Inc.","NMS"
"ATSG","Air Transport Services Group, Inc.","NMS"
"CHRW","CH Robinson Worldwide Inc.","NMS"
"UTIW","UTi Worldwide Inc.","NMS"
"AAWW","Atlas Air Worldwide Holdings, Inc.","NMS"
"PHII","PHI Inc.","NMS"
"AIRM","Air Methods Corp.","NMS"
"CENX","Century Aluminum Co.","NMS"
"KALU","Kaiser Aluminum Corporation","NMS"
"URBN","Urban Outfitters Inc.","NMS"
"PLCE","The Children's Place, Inc.","NMS"
"CHKE","Cherokee Inc.","NMS"
"SMRT","Stein Mart Inc.","NMS"
"GMAN","Gordmans Stores, Inc.","NMS"
"BEBE","Bebe Stores, Inc.","NMS"
"ASNA","Ascena Retail Group Inc.","NMS"
"WTSL","The Wet Seal, Inc.","NMS"
"DXLG","Destination XL Group, Inc.","NMS"
"ROST","Ross Stores Inc.","NMS"
"PSUN","Pacific Sunwear of California Inc.","NMS"
"SCVL","Shoe Carnival Inc.","NMS"
"FRAN","Francesca's Holdings Corporation","NMS"
"DEST","Destination Maternity Corporation","NMS"
"CTRN","Citi Trends, Inc.","NMS"
"CACH","Cache Inc.","NMS"
"IRBT","iRobot Corporation","NMS"
"IMMR","Immersion Corporation","NMS"
"QADA","QAD Inc.","NMS"
"SQI","SciQuest, Inc.","NMS"
"CDK","CDK Global, Inc.","NMS"
"BIRT","Actuate Corporation","NMS"
"RP","RealPage, Inc.","NMS"
"JIVE","Jive Software, Inc.","NMS"
"FTNT","Fortinet Inc.","NMS"
"UPIP","Unwired Planet, Inc.","NMS"
"TUBE","TubeMogul, Inc.","NMS"
"SNCR","Synchronoss Technologies, Inc.","NMS"
"ACTA","Actua Corporation","NMS"
"CTRX","Catamaran Corporation","NMS"
"MOBL","MobileIron, Inc.","NMS"
"STMP","Stamps.com Inc.","NMS"
"DTSI","DTS Inc.","NMS"
"AGYS","Agilysys Inc.","NMS"
"SYNA","Synaptics Inc.","NMS"
"AMSWA","American Software, Inc.","NMS"
"EIGI","Endurance International Group Holdings, Inc.","NMS"
"MGIC","Magic Software Enterprises Ltd.","NMS"
"CVLT","CommVault Systems, Inc.","NMS"
"TYPE","Monotype Imaging Holdings Inc.","NMS"
"ADVS","Advent Software, Inc.","NMS"
"PRGS","Progress Software Corporation","NMS"
"PCTY","Paylocity Holding Corporation","NMS"
"COVS","Covisint Corporation","NMS"
"CSOD","Cornerstone OnDemand, Inc.","NMS"
"ANSS","Ansys, Inc.","NMS"
"AMAP","AutoNavi Holdings Limited","NMS"
"BCOV","Brightcove, Inc.","NMS"
"MDRX","Allscripts Healthcare Solutions, Inc.","NMS"
"SPSC","SPS Commerce, Inc.","NMS"
"BV","Bazaarvoice, Inc.","NMS"
"PLUS","ePlus inc.","NMS"
"MKTO","Marketo, Inc.","NMS"
"CDNS","Cadence Design Systems Inc.","NMS"
"NSIT","Insight Enterprises Inc.","NMS"
"CNIT","China Information Technology, Inc.","NMS"
"EGOV","NIC Inc.","NMS"
"ZIXI","Zix Corporation","NMS"
"OTEX","Open Text Corporation","NMS"
"CPWR","Compuware Corporation","NMS"
"FEYE","FireEye, Inc.","NMS"
"QLYS","Qualys, Inc.","NMS"
"MANH","Manhattan Associates, Inc.","NMS"
"MSTR","MicroStrategy Inc.","NMS"
"NUAN","Nuance Communications, Inc.","NMS"
"TSYS","TeleCommunication Systems Inc.","NMS"
"MTLS","Materialise NV","NMS"
"SEAC","SeaChange International Inc.","NMS"
"SMSI","Smith Micro Software Inc.","NMS"
"KEYW","The KEYW Holding Corporation","NMS"
"TWOU","2U, Inc.","NMS"
"XNET","Xunlei Limited","NMS"
"BSFT","BroadSoft, Inc.","NMS"
"SPLK","Splunk, Inc.","NMS"
"ADBE","Adobe Systems Inc.","NMS"
"LOGM","LogMeIn, Inc.","NMS"
"YDLE","Yodlee, Inc.","NMS"
"INTU","Intuit Inc.","NMS"
"MCGC","MCG Capital Corporation","NMS"
"WETF","WisdomTree Investments, Inc.","NMS"
"VRTS","Virtus Investment Partners, Inc.","NMS"
"ACAS","American Capital, Ltd.","NMS"
"FNGN","Financial Engines, Inc.","NMS"
"CG","The Carlyle Group LP","NMS"
"SEIC","SEI Investments Co.","NMS"
"DHIL","Diamond Hill Investment Group Inc.","NMS"
"ECPG","Encore Capital Group, Inc.","NMS"
"REXI","Resource America, Inc.","NMS"
"CSWC","Capital Southwest Corporation","NMS"
"HRZN","Horizon Technology Finance Corporation","NMS"
"TROW","T. Rowe Price Group, Inc.","NMS"
"CLMS","Calamos Asset Management Inc.","NMS"
"NTRS","Northern Trust Corporation","NMS"
"FBRC","FBR & Co.","NMS"
"CRMT","America's Car-Mart Inc.","NMS"
"RUSHB","Rush Enterprises, Inc.","NMS"
"CPRT","Copart, Inc.","NMS"
"KNDI","Kandi Technolgies Group, Inc.","NMS"
"TSLA","Tesla Motors, Inc.","NMS"
"LKQ","LKQ Corp.","NMS"
"MNRO","Monro Muffler Brake Inc.","NMS"
"VOXX","VOXX International Corporation","NMS"
"THRM","Gentherm Incorporated","NMS"
"DORM","Dorman Products, Inc.","NMS"
"FDML","Federal-Mogul Holdings Corporation","NMS"
"FSYS","Fuel Systems Solutions, Inc.","NMS"
"GNTX","Gentex Corp.","NMS"
"MPAA","Motorcar Parts of America, Inc.","NMS"
"REMY","Remy International, Inc.","NMS"
"WPRT","Westport Innovations Inc.","NMS"
"PRTS","U.S. Auto Parts Network, Inc.","NMS"
"ORLY","O'Reilly Automotive Inc.","NMS"
"CVGI","Commercial Vehicle Group Inc.","NMS"
"BREW","Craft Brew Alliance, Inc.","NMS"
"SODA","SodaStream International Ltd.","NMS"
"MNST","Monster Beverage Corporation","NMS"
"COKE","Coca-Cola Bottling Co. Consolidated","NMS"
"FIZZ","National Beverage Corp.","NMS"
"INO","Inovio Pharmaceuticals, Inc.","NMS"
"ALNY","Alnylam Pharmaceuticals, Inc.","NMS"
"ACOR","Acorda Therapeutics, Inc.","NMS"
"OPHT","Ophthotech Corporation","NMS"
"GERN","Geron Corporation","NMS"
"ZFGN","Zafgen, Inc.","NMS"
"ARWR","Arrowhead Research Corp.","NMS"
"ECYT","Endocyte, Inc.","NMS"
"RELV","Reliv International, Inc.","NMS"
"PCYC","Pharmacyclics Inc.","NMS"
"PDLI","PDL BioPharma, Inc.","NMS"
"BIIB","Biogen Idec Inc.","NMS"
"OMED","OncoMed Pharmaceuticals, Inc.","NMS"
"ARNA","Arena Pharmaceuticals, Inc.","NMS"
"CBST","Cubist Pharmaceuticals Inc.","NMS"
"KITE","Kite Pharma, Inc.","NMS"
"QLTI","QLT Inc.","NMS"
"RGEN","Repligen Corporation","NMS"
"BMRN","BioMarin Pharmaceutical Inc.","NMS"
"ALXN","Alexion Pharmaceuticals, Inc.","NMS"
"IMGN","ImmunoGen, Inc.","NMS"
"FPRX","Five Prime Therapeutics, Inc.","NMS"
"ANIK","Anika Therapeutics Inc.","NMS"
"TSRO","Tesaro, Inc.","NMS"
"JAZZ","Jazz Pharmaceuticals Public Limited Company","NMS"
"FWP","Forward Pharma A/S","NMS"
"CCXI","ChemoCentryx, Inc.","NMS"
"NVAX","Novavax, Inc.","NMS"
"ENTA","Enanta Pharmaceuticals, Inc.","NMS"
"REGN","Regeneron Pharmaceuticals, Inc.","NMS"
"ARIA","Ariad Pharmaceuticals Inc.","NMS"
"GEVA","Synageva BioPharma Corp.","NMS"
"GILD","Gilead Sciences Inc.","NMS"
"DERM","Dermira, Inc.","NMS"
"CLVS","Clovis Oncology, Inc.","NMS"
"SQNM","Sequenom Inc.","NMS"
"ONTX","Onconova Therapeutics, Inc.","NMS"
"RNA","Prosensa Holding N.V.","NMS"
"SGMO","Sangamo Biosciences Inc.","NMS"
"QURE","uniQure N.V.","NMS"
"CALA","Calithera Biosciences, Inc.","NMS"
"LXRX","Lexicon Pharmaceuticals, Inc.","NMS"
"ACAD","ACADIA Pharmaceuticals Inc.","NMS"
"BCRX","BioCryst Pharmaceuticals, Inc.","NMS"
"EPZM","Epizyme, Inc.","NMS"
"INCY","Incyte Corporation","NMS"
"TRGT","Targacept, Inc.","NMS"
"CDXS","Codexis, Inc.","NMS"
"THRX","Theravance Inc.","NMS"
"PTIE","Pain Therapeutics Inc.","NMS"
"RLYP","Relypsa, Inc.","NMS"
"AVEO","AVEO Pharmaceuticals, Inc.","NMS"
"HALO","Halozyme Therapeutics, Inc.","NMS"
"FGEN","FibroGen, Inc.","NMS"
"ACHN","Achillion Pharmaceuticals, Inc.","NMS"
"SVA","Sinovac Biotech Ltd.","NMS"
"PTLA","Portola Pharmaceuticals, Inc.","NMS"
"VICL","Vical Incorporated","NMS"
"MGNX","MacroGenics, Inc.","NMS"
"AEGR","Aegerion Pharmaceuticals, Inc.","NMS"
"PGNX","Progenics Pharmaceuticals, Inc.","NMS"
"SPPI","Spectrum Pharmaceuticals, Inc.","NMS"
"DRNA","Dicerna Pharmaceuticals, Inc.","NMS"
"INSM","Insmed Incorporated","NMS"
"PRTA","Prothena Corporation plc","NMS"
"CLDX","Celldex Therapeutics, Inc.","NMS"
"SGEN","Seattle Genetics Inc.","NMS"
"XNPT","Xenoport, Inc.","NMS"
"ILMN","Illumina Inc.","NMS"
"CEMP","Cempra, Inc.","NMS"
"NKTR","Nektar Therapeutics","NMS"
"BOTA","Biota Pharmaceuticals, Inc.","NMS"
"EXEL","Exelixis, Inc.","NMS"
"RCPT","Receptos, Inc.","NMS"
"ENZY","Enzymotec Ltd.","NMS"
"HPTX","Hyperion Therapeutics, Inc.","NMS"
"PTCT","PTC Therapeutics, Inc.","NMS"
"ONTY","Oncothyreon Inc","NMS"
"RARE","Ultragenyx Pharmaceutical Inc.","NMS"
"AMGN","Amgen Inc.","NMS"
"CELG","Celgene Corporation","NMS"
"TECH","Bio-Techne Corp.","NMS"
"VVUS","VIVUS Inc.","NMS"
"SRPT","Sarepta Therapeutics, Inc.","NMS"
"AMRI","Albany Molecular Research Inc.","NMS"
"NPSP","NPS Pharmaceuticals, Inc.","NMS"
"VTL","Vital Therapies, Inc.","NMS"
"AGIO","Agios Pharmaceuticals, Inc.","NMS"
"TRVN","Trevena, Inc.","NMS"
"CBPO","China Biologic Products, Inc.","NMS"
"PACB","Pacific Biosciences of California, Inc.","NMS"
"MDVN","Medivation, Inc.","NMS"
"INFI","Infinity Pharmaceuticals, Inc.","NMS"
"VRTX","Vertex Pharmaceuticals Incorporated","NMS"
"BLUE","bluebird bio, Inc.","NMS"
"BIND","BIND Therapeutics, Inc.","NMS"
"EMMS","Emmis Communications Corp.","NMS"
"CMLS","Cumulus Media Inc.","NMS"
"SIRI","Sirius XM Holdings Inc.","NMS"
"NWSA","News Corporation","NMS"
"CTCM","CTC Media, Inc","NMS"
"LMCA","Liberty Media Corporation","NMS"
"AMCX","AMC Networks Inc.","NMS"
"CETV","Central European Media Enterprises Ltd.","NMS"
"SBGI","Sinclair Broadcast Group, Inc.","NMS"
"LVNTA","Liberty Ventures","NMS"
"NXST","Nexstar Broadcasting Group, Inc.","NMS"
"LBRDK","Liberty Broadband Corporation","NMS"
"MLHR","Herman Miller Inc.","NMS"
"HCSG","Healthcare Services Group Inc.","NMS"
"TTEC","TeleTech Holdings Inc.","NMS"
"ACTG","Acacia Research Corporation","NMS"
"LIOX","Lionbridge Technologies Inc.","NMS"
"EXLS","Exlservice Holdings, Inc.","NMS"
"MRKT","Markit Ltd.","NMS"
"PCLN","The Priceline Group Inc.","NMS"
"FISV","Fiserv, Inc.","NMS"
"PRAA","PRA Group, Inc.","NMS"
"PCO","Pendrell Corporation","NMS"
"EEFT","Euronet Worldwide Inc.","NMS"
"ASFI","Asta Funding Inc.","NMS"
"CATM","Cardtronics Inc.","NMS"
"ENOC","EnerNOC, Inc.","NMS"
"PRGX","PRGX Global, Inc.","NMS"
"ASPS","Altisource Portfolio Solutions S.A.","NMS"
"CTAS","Cintas Corporation","NMS"
"SCOR","comScore, Inc.","NMS"
"WSTC","West Corporation","NMS"
"GSOL","Global Sources Ltd.","NMS"
"ABCO","The Advisory Board Company","NMS"
"RRD","R.R. Donnelley & Sons Company","NMS"
"VRSK","Verisk Analytics, Inc.","NMS"
"PFMT","Performant Financial Corporation","NMS"
"CASS","Cass Information Systems, Inc.","NMS"
"LABL","Multi-Color Corp.","NMS"
"CMPR","Cimpress N.V.","NMS"
"MOLG","MOL Global, Inc.","NMS"
"RPXC","RPX Corporation","NMS"
"HMSY","HMS Holdings Corp.","NMS"
"IILG","Interval Leisure Group, Inc.","NMS"
"UEPS","Net 1 Ueps Technologies Inc.","NMS"
"REIS","Reis, Inc.","NMS"
"RENT","Rentrak Corporation","NMS"
"PRFT","Perficient Inc.","NMS"
"EPAY","Bottomline Technologies (de), Inc.","NMS"
"CSGS","CSG Systems International Inc.","NMS"
"MSFT","Microsoft Corporation","NMS"
"FORTY","Formula Systems (1985) Ltd.","NMS"
"LPSN","LivePerson Inc.","NMS"
"PERI","Perion Network Ltd.","NMS"
"PKT","Procera Networks, Inc.","NMS"
"CA","CA Technologies, Inc.","NMS"
"INFA","Informatica Corporation","NMS"
"CTSH","Cognizant Technology Solutions Corporation","NMS"
"PEGA","Pegasystems Inc.","NMS"
"VRNT","Verint Systems Inc.","NMS"
"BLKB","Blackbaud Inc.","NMS"
"NTCT","NetScout Systems, Inc.","NMS"
"ADP","Automatic Data Processing, Inc.","NMS"
"SREV","ServiceSource International, Inc.","NMS"
"TNGO","Tangoe, Inc.","NMS"
"SAPE","Sapient Corp.","NMS"
"EBIX","Ebix Inc.","NMS"
"TIBX","TIBCO Software Inc.","NMS"
"DOX","Amdocs Limited","NMS"
"ININ","Interactive Intelligence Group Inc.","NMS"
"CYBR","Cyber-Ark Software Ltd.","NMS"
"QLIK","Qlik Technologies, Inc.","NMS"
"AZPN","Aspen Technology, Inc.","NMS"
"FFIV","F5 Networks, Inc.","NMS"
"JKHY","Jack Henry & Associates Inc.","NMS"
"CTXS","Citrix Systems, Inc.","NMS"
"SSNC","SS&C; Technologies Holdings, Inc.","NMS"
"LQDT","Liquidity Services, Inc.","NMS"
"QVCA","Liberty Interactive Corporation","NMS"
"AMZN","Amazon.com Inc.","NMS"
"EVLV","EVINE Live Inc.","NMS"
"MELI","Mercadolibre, Inc.","NMS"
"LBTYA","Liberty Global plc","NMS"
"NFLX","Netflix, Inc.","NMS"
"DISCA","Discovery Communications, Inc.","NMS"
"TIVO","TiVo Inc.","NMS"
"DISH","Dish Network Corp.","NMS"
"CHTR","Charter Communications, Inc.","NMS"
"CRWN","Crown Media Holdings Inc.","NMS"
"DTV","DIRECTV","NMS"
"SHLM","A. Schulman, Inc.","NMS"
"ACET","Aceto Corp.","NMS"
"BCPC","Balchem Corp.","NMS"
"TICC","TICC Capital Corp.","NMS"
"WSTL","Westell Technologies, Inc.","NMS"
"IIJI","Internet Initiative Japan Inc.","NMS"
"NMRX","Numerex Corp.","NMS"
"SONS","Sonus Networks, Inc.","NMS"
"INFN","Infinera Corporation","NMS"
"ENVI","Envivio, Inc.","NMS"
"ALLT","Allot Communications Ltd.","NMS"
"SATS","EchoStar Corp.","NMS"
"QCOM","QUALCOMM Incorporated","NMS"
"PLCM","Polycom, Inc.","NMS"
"DRWI","DragonWave Inc.","NMS"
"HLIT","Harmonic Inc.","NMS"
"CRNT","Ceragon Networks Ltd.","NMS"
"NTGR","Netgear Inc.","NMS"
"KVHI","KVH Industries Inc.","NMS"
"CMTL","Comtech Telecommunications Corp.","NMS"
"GILT","Gilat Satellite Networks Ltd.","NMS"
"COMM","CommScope Holding Company, Inc.","NMS"
"ADTN","ADTRAN Inc.","NMS"
"TESS","TESSCO Technologies Inc.","NMS"
"LORL","Loral Space & Communications, Inc.","NMS"
"JDSU","JDS Uniphase Corporation","NMS"
"SHOR","ShoreTel, Inc.","NMS"
"AUDC","AudioCodes Ltd.","NMS"
"ARRS","ARRIS Group, Inc.","NMS"
"AVNW","Aviat Networks, Inc.","NMS"
"MITL","Mitel Networks Corporation","NMS"
"VSAT","ViaSat Inc.","NMS"
"RSYS","RadiSys Corporation","NMS"
"DAKT","Daktronics Inc.","NMS"
"EFII","Electronics for Imaging, Inc.","NMS"
"SSYS","Stratasys Ltd.","NMS"
"MRCY","Mercury Systems, Inc.","NMS"
"QUMU","Qumu Corporation","NMS"
"OLED","Universal Display Corp.","NMS"
"USTR","United Stationers Inc.","NMS"
"PCCC","PC Connection, Inc.","NMS"
"TECD","Tech Data Corp.","NMS"
"MDLZ","Mondelez International, Inc.","NMS"
"IEP","Icahn Enterprises, L.P.","NMS"
"PICO","PICO Holdings Inc.","NMS"
"NTRI","Nutrisystem, Inc.","NMS"
"STB","Student Transportation, Inc.","NMS"
"XOOM","Xoom Corporation","NMS"
"WRLD","World Acceptance Corp.","NMS"
"MGI","Moneygram International Inc.","NMS"
"HAWK","Blackhawk Network Holdings, Inc.","NMS"
"SLM","SLM Corporation","NMS"
"NICK","Nicholas Financial Inc.","NMS"
"ATLC","Atlanticus Holdings Corporation","NMS"
"QIWI","Qiwi plc","NMS"
"CACC","Credit Acceptance Corp.","NMS"
"EZPW","EZCORP, Inc.","NMS"
"NEWS","NewStar Financial, Inc.","NMS"
"FCFS","First Cash Financial Services Inc.","NMS"
"IBCA","Intervest Bancshares Corp.","NMS"
"VIEW","Viewtran Group, Inc.","NMS"
"NAVI","Navient Corporation","NMS"
"TAXI","Medallion Financial Corp.","NMS"
"SYUT","Synutra International Inc.","NMS"
"WDC","Western Digital Corporation","NMS"
"DTLK","Datalink Corporation","NMS"
"STX","Seagate Technology Public Limited Company","NMS"
"BRCD","Brocade Communications Systems, Inc.","NMS"
"NTAP","NetApp, Inc.","NMS"
"SNDK","SanDisk Corp.","NMS"
"SHLD","Sears Holdings Corporation","NMS"
"BONT","Bon-Ton Stores Inc.","NMS"
"QDEL","Quidel Corp.","NMS"
"TRIB","Trinity Biotech plc","NMS"
"SRDX","SurModics, Inc.","NMS"
"NEOG","Neogen Corp.","NMS"
"IDXX","IDEXX Laboratories, Inc.","NMS"
"VIVO","Meridian Bioscience, Inc.","NMS"
"AMAG","AMAG Pharmaceuticals, Inc.","NMS"
"TUES","Tuesday Morning Corporation","NMS"
"COST","Costco Wholesale Corporation","NMS"
"FRED","Fred's, Inc.","NMS"
"DLTR","Dollar Tree, Inc.","NMS"
"ZU","zulily, Inc.","NMS"
"PSMT","PriceSmart Inc.","NMS"
"WIFI","Boingo Wireless, Inc.","NMS"
"IGLD","Internet Gold Golden Lines Ltd.","NMS"
"EGHT","8x8 Inc.","NMS"
"MIFI","Novatel Wireless Inc.","NMS"
"LMOS","Lumos Networks Corp.","NMS"
"BCOM","B Communications Ltd","NMS"
"GOGO","Gogo Inc.","NMS"
"ORBC","ORBCOMM, Inc.","NMS"
"HCOM","Hawaiian Telcom Holdco, Inc.","NMS"
"CCOI","Cogent Communications Holdings, Inc.","NMS"
"RRST","RRSat Global Communications Network Ltd.","NMS"
"IRDM","Iridium Communications Inc.","NMS"
"SGI","Silicon Graphics International Corp.","NMS"
"CRAY","Cray Inc.","NMS"
"OIIM","O2Micro International Ltd.","NMS"
"CTRL","Control4 Corporation","NMS"
"HTCH","Hutchinson Technology Inc.","NMS"
"KE","Kimball Electronics, Inc.","NMS"
"SANM","Sanmina Corporation","NMS"
"SIMO","Silicon Motion Technology Corp.","NMS"
"BELFB","Bel Fuse Inc.","NMS"
"JST","Jinpan International Limited","NMS"
"ORBK","Orbotech Ltd.","NMS"
"VICR","Vicor Corp.","NMS"
"WIRE","Encore Wire Corp.","NMS"
"MXWL","Maxwell Technologies, Inc.","NMS"
"AEIS","Advanced Energy Industries, Inc.","NMS"
"CBOE","CBOE Holdings, Inc.","NMS"
"NDAQ","The Nasdaq OMX Group, Inc.","NMS"
"VPFG","ViewPoint Financial Group, Inc.","NMS"
"KCAP","KCAP Financial, Inc.","NMS"
"DMLP","Dorchester Minerals LP","NMS"
"RAVN","Raven Industries Inc.","NMS"
"ZBRA","Zebra Technologies Corp.","NMS"
"TWIN","Twin Disc, Incorporated","NMS"
"MIDD","Middleby Corp.","NMS"
"TECU","Tecumseh Products Company","NMS"
"NDSN","Nordson Corporation","NMS"
"XONE","The ExOne Company","NMS"
"POWL","Powell Industries, Inc.","NMS"
"TERP","TerraForm Power, Inc.","NMS"
"PEGI","Pattern Energy Group Inc.","NMS"
"MGEE","MGE Energy Inc.","NMS"
"OTTR","Otter Tail Corporation","NMS"
"PETS","PetMed Express, Inc.","NMS"
"ALKS","Alkermes plc","NMS"
"IPXL","Impax Laboratories Inc.","NMS"
"ICPT","Intercept Pharmaceuticals, Inc.","NMS"
"ITCI","Intra-Cellular Therapies, Inc.","NMS"
"TTPH","Tetraphase Pharmaceuticals, Inc.","NMS"
"KYTH","Kythera Biopharmaceuticals, Inc.","NMS"
"PCRX","Pacira Pharmaceuticals, Inc.","NMS"
"SGYP","Synergy Pharmaceuticals, Inc.","NMS"
"AMPH","Amphastar Pharmaceuticals, Inc.","NMS"
"POZN","POZEN Inc.","NMS"
"DEPO","DepoMed Inc.","NMS"
"ISIS","Isis Pharmaceuticals, Inc.","NMS"
"UTHR","United Therapeutics Corporation","NMS"
"OREX","Orexigen Therapeutics, Inc.","NMS"
"SCLN","SciClone Pharmaceuticals, Inc.","NMS"
"ENDP","Endo International plc","NMS"
"CPIX","Cumberland Pharmaceuticals, Inc.","NMS"
"AUXL","Auxilium Pharmaceuticals Inc.","NMS"
"HZNP","Horizon Pharma plc","NMS"
"MDCO","The Medicines Company","NMS"
"IRWD","Ironwood Pharmaceuticals, Inc.","NMS"
"AKRX","Akorn, Inc.","NMS"
"SLXP","Salix Pharmaceuticals Ltd.","NMS"
"MYL","Mylan, Inc.","NMS"
"VSAR","Versartis, Inc.","NMS"
"MNTA","Momenta Pharmaceuticals Inc.","NMS"
"AVNR","Avanir Pharmaceuticals, Inc.","NMS"
"RIGL","Rigel Pharmaceuticals, Inc.","NMS"
"KPTI","Karyopharm Therapeutics, Inc.","NMS"
"SGNT","Sagent Pharmaceuticals, Inc.","NMS"
"NBIX","Neurocrine Biosciences Inc.","NMS"
"STRA","Strayer Education Inc.","NMS"
"TEDU","Tarena International, Inc.","NMS"
"LINC","Lincoln Educational Services Corporation","NMS"
"HMHC","Houghton Mifflin Harcourt Company","NMS"
"CPLA","Capella Education Co.","NMS"
"LOPE","Grand Canyon Education, Inc.","NMS"
"APOL","Apollo Education Group, Inc.","NMS"
"APEI","American Public Education, Inc.","NMS"
